filename,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,mfcc_var_14,mfcc_var_15,mfcc_var_16,mfcc_var_17,mfcc_var_18,mfcc_var_19,mfcc_var_20
(I Cant Get No) Satisfaction_clean.wav,-169.7603,161.83861,-62.014248,48.120033,4.5540686,19.80785,1.3929724,0.6348127,2.8283749,-1.3440818,3.3958364,-5.158112,-0.6514634,-0.72553885,1.314051,-1.1742647,-0.13643587,0.11799135,-2.6854773,-0.5627909,110.45529,45.75644,22.645382,20.066338,15.545621,12.152045,7.917699,8.099163,7.1974864,7.091552,6.6289196,6.295398,5.9438367,6.3960104,6.056041,5.243723,5.255878,5.004586,5.2806025,5.075664,12200.371,2093.6516,512.8133,402.65787,241.66634,147.67221,62.689957,65.596436,51.80381,50.290108,43.942577,39.632042,35.329197,40.908947,36.675632,27.49663,27.624252,25.045885,27.88476,25.762367
Ajab Si_clean.wav,-167.0958,130.97942,5.2080045,40.317055,3.650224,34.7282,-17.624096,15.579361,-7.0198083,3.2290516,-8.665257,6.2906685,-1.6804637,-2.0392663,-1.7399423,-3.15272,2.083842,-2.743498,2.9976816,-3.6475348,82.630905,30.459951,23.043531,19.343582,19.283289,16.281942,16.090942,13.34865,13.141721,13.600473,12.30583,12.888137,11.319917,9.601684,8.909626,9.368445,8.787358,8.779467,8.228719,8.91725,6827.8667,927.8086,531.00433,374.1742,371.84525,265.10165,258.91846,178.18646,172.70483,184.97287,151.43344,166.10406,128.14052,92.19234,79.38143,87.76776,77.21767,77.07903,67.71181,79.517334
Ajib Dastan Hai Yeh_clean.wav,-156.25818,198.05489,-10.79842,3.6452506,-25.021488,33.27574,-1.0317569,-22.967407,10.450482,3.959136,-21.731766,-0.37380013,1.6517104,-7.0556827,-1.0870373,0.6880359,2.3792384,-5.9989696,2.9555485,-1.1450182,61.25663,32.01232,26.20507,19.148987,14.955706,24.31483,23.770565,16.680624,17.146637,14.055145,13.1860285,15.401472,12.593731,12.269445,14.168283,13.096871,12.982557,11.854414,12.259015,13.0325365,3752.3745,1024.7887,686.7057,366.68372,223.67313,591.211,565.0398,278.24323,294.00717,197.54712,173.87135,237.20535,158.60207,150.53929,200.74025,171.52803,168.5468,140.52713,150.28345,169.84702
All Along The Watchtower_clean.wav,-129.21,148.47125,-46.60808,48.578762,-6.917925,46.17459,-11.551571,6.0635533,12.884134,-8.07946,0.8933685,6.2591815,1.1777753,-6.307939,6.4738884,1.5065722,-2.0578976,1.1027068,-0.8122511,-5.1346607,63.542908,30.30135,21.365114,20.715008,17.975338,17.658955,13.203187,12.6491375,15.389509,14.194554,11.874625,11.847399,11.190226,9.719987,10.429086,9.823711,9.763824,9.6235285,9.054988,8.51883,4037.7012,918.17175,456.46808,429.11157,323.11276,311.83868,174.32414,160.00067,236.83699,201.48538,141.00673,140.36086,125.221146,94.47814,108.76583,96.50531,95.33226,92.6123,81.992805,72.570465
All of Me_clean.wav,-223.84607,143.03848,-15.569999,25.780113,-14.619905,6.7667284,-13.699268,-9.935545,-11.858862,-10.487161,-15.740299,-5.8610687,-5.0814004,-9.100915,-6.813944,-10.102158,-4.216745,-4.334248,-1.7781084,-7.759977,119.587944,54.023067,27.124521,24.72969,22.181551,17.182943,13.055867,11.493499,11.595758,11.176526,11.899287,9.631698,9.698975,9.136561,9.55137,10.27069,8.82026,9.320652,9.970207,9.957606,14301.276,2918.492,735.7396,611.5576,492.02124,295.2535,170.45566,132.10051,134.46162,124.91473,141.59303,92.7696,94.070114,83.47675,91.22866,105.48707,77.79698,86.87455,99.40503,99.153915
And So It Goes_clean.wav,-262.02225,182.04318,-12.12584,-3.4784105,-1.6859562,2.153883,-18.618254,-1.9215077,-5.19966,-17.050377,-5.27169,-3.730614,-8.006686,-5.060713,0.293902,-4.06381,-0.49062902,-2.0155182,-2.8503268,-4.236309,68.689705,36.57852,34.987686,20.137249,17.57439,12.975648,12.027008,9.929135,9.094832,13.153664,8.150879,7.2933545,8.122254,7.1024456,6.6930933,7.2671638,6.656339,7.05423,7.0919333,6.320494,4718.2754,1337.9882,1224.1381,405.5088,308.8592,168.36745,144.64893,98.58772,82.71598,173.01886,66.43683,53.19302,65.971016,50.444733,44.7975,52.81167,44.306854,49.762165,50.295517,39.948647
Anjaana Anjaani Ki Kahani_clean.wav,-99.23891,138.01161,-18.889744,37.983353,-11.447139,29.188719,-3.112203,17.126152,-1.1622074,10.469762,0.33267644,6.532422,0.75868803,0.50969565,1.1747125,-1.140449,5.067934,-1.3780605,2.0336118,-3.1928344,71.429535,27.17383,15.930903,15.638532,11.997256,12.594733,9.426116,11.918443,10.424446,10.3494005,9.134083,8.822852,8.390483,8.5422125,8.648216,7.2846456,7.0723257,6.684432,6.958402,7.9016,5102.1787,738.417,253.79367,244.56366,143.93416,158.6273,88.85167,142.04929,108.66907,107.110085,83.431465,77.84273,70.40021,72.96939,74.79165,53.066063,50.01779,44.681633,48.41936,62.435284
At Last_clean.wav,-252.93765,164.84799,-55.93704,46.149635,10.045284,5.936069,1.7516552,-5.502484,10.991948,-14.373311,3.9420054,6.825504,-6.249806,1.5930729,-5.702541,-1.4636225,-4.693605,-5.062943,1.2000101,-3.1323168,70.78638,28.568,30.424252,17.064981,16.098745,10.301015,10.071135,10.390581,10.968721,9.871803,8.845958,7.8005986,8.007798,8.856948,7.885417,8.025086,7.3646116,7.619057,7.4351096,9.036074,5010.711,816.1307,925.6351,291.2136,259.1696,106.11091,101.42774,107.96417,120.31286,97.4525,78.25096,60.849342,64.12483,78.44552,62.179802,64.402016,54.237507,58.050034,55.280853,81.65063
Billie Jean_clean.wav,-139.6305,113.17269,-4.809341,55.854168,-10.807729,27.60158,-9.050368,19.529913,-7.2157097,12.413524,-3.817199,10.875409,-2.9685137,0.34791508,1.3061695,-0.2793918,3.5977745,-0.890629,5.4094644,-1.1934675,103.76828,37.393394,28.660215,19.600273,18.096375,14.318784,16.13256,13.321665,13.200092,10.691291,10.33492,8.884811,7.82936,7.353632,6.833071,6.864212,7.2444544,7.521805,7.1580825,7.521887,10767.856,1398.2659,821.40796,384.17072,327.47876,205.02757,260.2595,177.46675,174.24243,114.303696,106.81058,78.93988,61.29888,54.075905,46.690865,47.117405,52.48212,56.577545,51.238144,56.57878
Bitter Sweet Symphony_clean.wav,-93.002,160.07838,-48.349205,51.53268,-8.006293,20.791946,-5.800547,4.808307,2.0372243,2.4570782,-2.166178,2.455933,-2.2966564,-0.7109349,2.8642514,-3.181486,-0.95728993,-1.5398945,0.628539,-2.443856,68.6784,24.254707,15.527191,18.837994,14.232352,12.735478,9.989546,9.694883,9.276599,8.6705,7.73576,7.1541696,6.7270503,7.1991916,6.7523155,6.448351,6.4519844,6.2010136,5.8606224,5.915236,4716.7227,588.29083,241.09366,354.87,202.55986,162.1924,99.79103,93.99076,86.05528,75.17756,59.841988,51.182144,45.253204,51.828358,45.593765,41.581226,41.6281,38.452568,34.346893,34.990017
Bohemian Rhapsody_clean.wav,-207.87848,142.73894,-30.462667,33.767365,1.9204842,9.999637,-9.105167,6.8201804,1.9917014,-5.1481943,-0.110410936,2.2512474,-2.2559845,-1.3233167,1.4994822,-6.5661235,-3.818952,-1.6996015,-3.336442,-3.6739557,116.46859,39.52976,31.259909,28.501198,21.426336,15.771436,15.781583,14.7471075,10.782237,14.5209465,11.837509,11.407324,10.828582,9.205883,8.618799,8.956488,8.7654295,8.040172,8.454001,8.47244,13564.932,1562.6018,977.1819,812.31824,459.08786,248.73819,249.05836,217.47719,116.25663,210.85788,140.12663,130.12704,117.258194,84.74828,74.2837,80.218666,76.83275,64.644356,71.47014,71.782234
Californication_clean.wav,-97.29897,143.84987,-38.778683,51.946163,1.783185,32.245247,-2.0344043,8.840555,1.4371896,8.044312,-2.7347572,4.3849363,3.5449457,4.0454993,-0.95273477,-1.4215299,-3.0639613,-3.4539988,1.8349744,-5.8464737,96.88185,30.571104,32.132175,20.888834,15.68168,11.209232,10.7466545,10.936439,12.390679,9.750051,9.900298,8.470182,8.188316,7.188972,6.9468703,7.154961,6.843337,6.6712337,6.485163,6.824336,9386.094,934.59235,1032.4767,436.3434,245.91507,125.64688,115.490585,119.60569,153.52893,95.063484,98.01591,71.74399,67.04853,51.68132,48.259007,51.193466,46.831264,44.505356,42.057343,46.571564
Call Me Maybe_clean.wav,-212.14433,111.12445,-24.526127,39.55044,-7.403968,24.879183,-15.867089,17.45279,-9.526327,10.604083,-3.0465384,3.7884264,-4.2941723,-0.111891575,-0.17623702,-2.688749,1.0939215,-0.1894452,6.4628882,0.61493784,122.78613,42.873154,32.561993,22.664768,18.511395,18.363123,14.940041,16.111895,13.57121,13.798625,11.325941,11.006346,9.474101,10.574453,9.509475,9.070013,9.804029,11.108018,10.211371,10.14934,15076.435,1838.1074,1060.2834,513.6917,342.6717,337.2043,223.20482,259.59317,184.17775,190.40205,128.27695,121.13964,89.75859,111.81907,90.43011,82.265144,96.118996,123.38807,104.27211,103.0091
Channa Mereya_clean.wav,-98.3777,156.73773,-12.858852,29.906656,-6.8767877,25.89058,-14.672322,8.773268,-9.698463,5.6923933,-9.981523,9.858588,0.6379691,1.3772379,1.9078559,-2.4975731,2.1597173,-5.3914433,-2.1125243,-6.9016657,80.97019,30.26141,19.398462,15.612111,13.854887,12.331412,10.958606,10.687545,10.048197,10.55865,9.525455,10.005156,8.519429,8.163595,7.676471,7.846239,7.638056,7.4694943,7.9335856,7.0765004,6556.1714,915.7529,376.30035,243.73802,191.9579,152.06374,120.09104,114.22361,100.966255,111.485085,90.73431,100.103134,72.58067,66.64428,58.928207,61.563465,58.339893,55.793343,62.94178,50.07686
Come As You Are_clean.wav,-102.97749,139.19342,-36.274567,55.53261,-3.6669095,28.804409,-11.860643,13.980059,-2.8548732,6.4102817,-1.2089099,6.2503295,2.6059513,3.7756107,1.1661639,-9.30018,0.119426355,-2.2949347,0.08786654,-6.494788,106.865005,32.51993,30.248337,21.94089,14.608924,12.613765,10.786366,9.758784,9.06953,8.057585,8.168372,7.140039,6.8976064,6.551549,6.0599704,6.070944,6.603026,6.5336347,6.2604284,5.755926,11420.129,1057.546,914.96185,481.40265,213.42065,159.10707,116.345695,95.233864,82.25636,64.924675,66.722305,50.98016,47.576977,42.922794,36.723244,36.85636,43.59995,42.68838,39.192963,33.130684
Dont Let Me Down_clean.wav,-150.35439,160.80045,-26.597645,45.176144,-7.7809763,18.135843,-9.899163,-1.4738913,-0.3169422,-2.1580968,-1.8287598,1.4811741,-0.17754221,-0.76805514,-0.9140097,-4.632936,-0.048087038,-3.1589181,-2.3095548,-4.167493,114.92373,50.379826,27.900192,21.353094,17.658459,13.321561,11.630897,10.870813,8.476011,9.084138,8.017099,7.3379207,7.1839437,7.298503,6.7914677,6.326169,6.208439,5.9258313,6.4096527,6.3629904,13207.464,2538.1267,778.4207,455.9546,311.82117,177.46399,135.27776,118.17458,71.84277,82.52156,64.27388,53.84508,51.609047,53.268143,46.12403,40.020412,38.544716,35.115475,41.083645,40.487648
Elvis Presley_clean.wav,-160.4586,171.49812,-59.27364,52.924126,-10.798997,7.346368,7.5378776,-3.2828996,11.051126,-9.823739,4.1156044,2.41053,-2.1405454,5.2070794,-1.0667742,-0.20918246,0.82069916,-1.1420656,-1.5150054,-3.932544,67.094574,28.551914,27.851786,20.281275,17.582901,15.208863,10.804412,10.075822,9.09257,9.982895,9.568234,8.126301,7.549859,7.4229107,6.9004993,6.4091363,6.5500526,6.5289173,6.8418813,6.97098,4501.6816,815.21185,775.722,411.33014,309.15842,231.30951,116.73532,101.52218,82.67483,99.658195,91.55112,66.03676,57.00037,55.099606,47.61689,41.07703,42.903187,42.62676,46.81134,48.594566
Gimme Shelter_clean.wav,-148.02802,180.1922,-38.999977,42.19561,-6.8257,16.693226,0.11102982,2.5272324,0.9687639,4.8099113,0.12285977,-0.2087071,-0.872624,-2.4111671,0.4038278,-3.0969558,-0.43527114,-3.8133132,-3.346233,-2.8466492,73.77745,24.43786,21.398495,21.287727,13.432728,10.275917,11.534909,10.849377,8.666136,8.041426,6.9554935,7.531937,6.60859,6.056317,6.3365765,6.4534593,6.6011205,6.8515463,6.887667,7.429651,5443.1123,597.20905,457.89557,453.16733,180.43817,105.59447,133.05412,117.708984,75.10191,64.66452,48.37889,56.730076,43.673466,36.678974,40.152203,41.647137,43.57479,46.943684,47.439957,55.19971
Gold on the Ceiling_clean.wav,-80.13131,138.97134,-42.97916,51.94881,-8.108544,25.27085,-3.5066924,17.060349,-1.7792407,9.050302,-3.5509675,7.7973113,0.9605259,3.2821946,1.2656802,0.9845756,1.6796055,0.122179754,4.595708,-3.4588263,86.93885,30.200548,17.098425,21.023067,12.957451,13.689486,9.668279,9.256083,8.304022,11.112975,7.8961387,7.3047323,6.897696,6.873896,6.3953605,6.217829,5.9031434,5.7699895,6.728079,5.845209,7558.3643,912.07306,292.35614,441.96933,167.89554,187.40201,93.47561,85.67507,68.95677,123.49822,62.349007,53.359116,47.578213,47.25045,40.90064,38.6614,34.8471,33.292778,45.267044,34.16647
Good Vibrations_clean.wav,-202.74567,156.33408,-31.525763,51.810287,-8.0326185,18.311111,5.3606915,-0.17383853,1.2824185,-5.8064494,0.6789265,1.317182,3.7575946,-3.7033634,1.4767503,-3.2617242,-3.0727808,0.9287341,-2.7898343,-1.0883318,87.70196,33.452557,34.286304,24.42805,17.008944,13.307055,11.422897,9.471791,8.998172,10.152595,8.380016,8.831569,8.473028,8.618015,8.185979,8.805891,8.570894,7.655966,7.5414324,8.453169,7691.6333,1119.0736,1175.5508,596.72955,289.30417,177.07771,130.48257,89.71482,80.9671,103.07517,70.22468,77.996605,71.79221,74.270195,67.010254,77.543724,73.46023,58.613815,56.873203,71.45606
Hakuna Matata_clean.wav,-282.0438,140.57935,-14.790841,33.113,3.814379,16.133741,-4.9294343,5.074945,-3.7845757,1.5422839,-6.1970778,0.6434813,-0.15216488,-1.3436004,-1.039016,-4.6019316,-0.56930244,-2.1383517,-0.973099,-4.0084863,106.107254,37.550056,36.13611,20.58456,19.671188,14.155107,16.789091,12.233099,12.839739,11.365203,11.244272,9.402306,9.026088,8.688626,8.208944,8.596659,8.426594,8.078969,7.7045765,7.795433,11258.75,1410.0068,1305.8184,423.72415,386.95566,200.36705,281.8736,149.64871,164.8589,129.16783,126.43366,88.40336,81.47026,75.492226,67.38677,73.902534,71.00748,65.269745,59.3605,60.76878
Hedwigs Theme_clean.wav,-314.87714,150.42038,-22.092476,2.7543502,-2.7991893,0.052757483,-11.825797,-3.6970165,-6.571306,-5.860862,-3.9826856,-3.0139978,-3.0776534,-3.7638881,-1.578217,-2.2077608,-2.755321,-0.41614583,0.0041808453,-2.0093,129.32164,50.567,26.899084,27.889175,17.874552,17.197567,12.734421,13.326702,10.947342,12.125918,12.656525,12.328538,11.997293,10.674084,9.870449,9.588744,9.502623,9.431315,8.8781185,8.488093,16724.088,2557.0217,723.5607,777.8061,319.4996,295.7563,162.16548,177.601,119.84429,147.03789,160.1876,151.99286,143.93506,113.93606,97.42576,91.94401,90.299835,88.94971,78.820984,72.04774
Hey Jude [blank]_clean.wav,-121.32295,149.10663,-46.11894,45.904068,-6.422468,24.151165,-8.92393,13.550896,4.867986,-0.9415627,1.6055057,2.8698294,-2.7450867,-1.2196834,2.7943792,-1.785719,-0.60119563,-2.3536804,-1.8500504,-5.517467,112.44302,42.64978,28.17476,19.474573,19.81842,13.767959,9.8090105,10.119038,9.745739,8.149569,7.5908566,7.423088,7.0396676,6.368797,6.5479283,6.3385177,6.26122,6.293696,6.8605375,6.5642543,12643.434,1819.0039,793.81714,379.259,392.7698,189.55669,96.21668,102.39492,94.97942,66.415474,57.6211,55.102238,49.55692,40.561573,42.875366,40.176807,39.202873,39.61061,47.06698,43.08943
Highway to Hell_clean.wav,-100.64036,136.99677,-62.08146,31.72975,-16.226059,25.913673,-20.01802,17.047764,-13.799916,3.5673108,1.9937665,4.573505,2.642132,1.0999641,4.880413,-3.1520476,4.2566967,-3.6033168,5.8641944,-4.3066463,84.519356,39.979015,24.359304,21.502722,15.901888,14.664981,13.094884,11.252652,9.343075,11.323814,9.185467,9.091758,8.572423,8.701772,7.698034,8.124022,8.332912,7.626292,7.987142,7.6309566,7143.522,1598.3217,593.37573,462.36703,252.87003,215.06168,171.47598,126.62218,87.29305,128.22878,84.372795,82.660065,73.486435,75.720825,59.259724,65.999725,69.43742,58.16033,63.794437,58.231503
Hothon Se Chhulo Tum_clean.wav,-350.80484,195.86668,-39.925404,-71.554695,-4.674445,-14.238165,-47.285206,-33.8986,-22.967215,-26.618565,-14.10635,-4.490538,-15.21504,-17.968546,-8.458158,-7.5947933,-7.609202,0.40288606,2.5533426,-3.2583363,44.943157,34.048115,51.99812,32.363598,29.05014,20.432114,20.862833,19.089378,15.868242,16.98916,16.22346,16.894892,16.72186,14.561961,14.863307,14.641296,14.878367,14.64247,14.418465,15.811954,2019.8875,1159.274,2703.8044,1047.4026,843.91064,417.47125,435.2578,364.40436,251.80112,288.6316,263.20065,285.43738,279.62064,212.05072,220.91791,214.36757,221.36583,214.40193,207.89214,250.01788
Humsafar_clean.wav,-140.07152,156.36029,1.075175,26.930243,-13.59414,19.47626,-15.830425,6.517222,-9.207729,-5.2476854,-4.066852,2.7352927,-8.659256,-8.106513,-0.049722627,-8.859515,-1.7071627,1.1083442,-0.6830194,-2.720712,62.43347,28.58114,20.140652,28.457182,19.476847,16.909327,13.417486,14.072521,10.809102,13.05335,11.998101,14.079454,9.629651,9.392488,12.180983,9.551999,11.303667,10.639841,10.955701,10.662298,3897.9382,816.8816,405.6458,809.8112,379.34753,285.92535,180.02893,198.03584,116.836685,170.38997,143.95444,198.23103,92.73019,88.21882,148.37633,91.24069,127.77288,113.20622,120.027374,113.68461
I Have Nothing_clean.wav,-170.0414,137.16783,-18.390059,24.215706,-12.546155,25.893196,-20.923676,11.483775,0.8008305,-3.1044064,0.5721716,7.0849195,-6.087947,-2.1977549,-0.9175955,-1.1860435,1.078604,-1.1761012,2.2098198,-0.73827267,89.941795,30.707994,24.774677,17.98866,16.361872,15.500232,13.478479,14.366444,13.323267,14.161722,10.06574,10.173382,9.457785,9.12713,8.92622,10.024821,9.5740385,10.341402,11.087055,9.465273,8089.526,942.9809,613.78467,323.59192,267.71082,240.25719,181.6694,206.3947,177.50945,200.55437,101.31912,103.497696,89.44969,83.30449,79.67741,100.49705,91.66221,106.94459,122.92278,89.591385
I Wanna Dance With Somebody_clean.wav,-133.51572,103.800705,-42.29516,45.22031,-27.863712,20.641941,-16.188908,17.208248,-3.7689521,10.486341,-0.21577676,10.513494,-2.7395835,-1.1933428,-1.4430658,-0.3759986,3.2255692,-0.05368053,3.5670385,-2.333903,84.82386,26.366129,23.994347,25.89326,15.151208,17.376732,12.94596,15.071547,10.502522,13.078881,9.739745,9.134915,9.734389,9.019882,8.558958,9.11023,9.135969,8.736483,8.416329,8.081462,7195.087,695.1728,575.72864,670.4608,229.55911,301.95084,167.59787,227.1515,110.302986,171.05714,94.86263,83.44667,94.75834,81.35827,73.25576,82.99631,83.465935,76.326126,70.8346,65.31002
I Will Always Love You_clean.wav,-267.05634,139.67445,-13.894502,26.849087,10.325835,11.458722,-11.3267145,3.4977489,2.235905,-9.8321495,0.48446804,4.310868,-5.4977584,-4.9674406,-2.1300676,-2.9343436,-1.3721802,2.5384884,0.76328754,-1.4753548,117.53587,49.62123,30.428066,20.337078,17.459457,12.48467,13.189618,11.941456,11.799892,14.146011,9.426188,11.710182,10.466566,9.433906,8.964492,10.963529,11.807844,11.449686,11.573342,9.748805,13814.682,2462.2666,925.86725,413.59674,304.83267,155.86697,173.96603,142.59836,139.23746,200.10965,88.85303,137.12836,109.549,88.99858,80.362114,120.19896,139.42519,131.0953,133.94225,95.03919
Im Yours_clean.wav,-208.36798,144.68588,-1.5343088,39.49036,-1.4879153,14.483735,-9.428789,5.7483883,-0.7195183,-0.13192704,-2.8682473,2.70128,-1.4269583,0.0027547227,-1.3291507,-6.889048,0.9267963,-3.518539,-3.0634217,-5.0901346,87.44675,37.312523,30.740688,24.022333,20.038946,16.520988,13.948678,12.970647,12.100388,12.63198,10.9105835,10.40827,9.396133,9.098497,9.89238,8.998029,8.170265,8.878659,8.986219,7.869955,7646.9336,1392.2245,944.9899,577.07245,401.55936,272.94305,194.56561,168.23767,146.41939,159.56691,119.04084,108.33208,88.28732,82.78266,97.85918,80.964516,66.753235,78.83058,80.752144,61.936195
In the End_clean.wav,-107.14213,150.02321,-40.619488,33.05612,-2.6081119,21.726385,-11.395264,13.578299,-4.308017,10.79953,2.8418295,5.894687,1.5127211,4.0488176,2.1581626,-2.2220993,-1.8293334,-2.6981745,1.848478,-3.1496422,119.6571,34.42348,29.672712,20.995384,22.600279,16.156883,11.086834,11.856388,9.804287,10.850109,8.397852,9.0002365,7.6148014,7.108763,7.040876,7.138847,7.8114634,6.235306,6.631685,6.2793593,14317.821,1184.9761,880.46985,440.80612,510.77258,261.04486,122.91788,140.57393,96.12405,117.72488,70.52391,81.004265,57.9852,50.534515,49.573936,50.963135,61.018963,38.879036,43.97924,39.43035
Its My Life_clean.wav,-180.74638,189.20795,-30.889849,24.058563,16.288353,0.6279718,2.5406327,-9.335585,-1.0446738,-5.8422527,-1.6092409,-2.9917395,-7.6613812,-1.0596176,-2.998798,-1.2154459,-2.7927737,-2.6624198,-3.5714905,-7.030664,83.72254,32.027172,46.26709,19.73366,15.137542,12.145148,9.590794,10.05013,9.894111,8.302503,8.706479,8.403082,8.427371,8.507045,7.5697217,8.436669,6.9709244,7.133421,6.497521,7.2750254,7009.464,1025.7397,2140.6436,389.41733,229.14517,147.50462,91.98333,101.005104,97.89343,68.93155,75.80277,70.611786,71.020584,72.369804,57.30069,71.17738,48.59379,50.885693,42.217777,52.92599
